Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
CBRE,4.1k,4.4k,"Real Estate - Hyderabad , Secunderabad +85 other locations",17k,1.7k,53,"Skill Development / Learning, Company Culture, Work Life Balance",
Persistent Systems,3.6k,4.3k,IT Services & Consulting - Pune +41 other locations,40.2k,1.6k,187,,"Promotions / Appraisal, Job Security, Work Satisfaction"
PolicyBazaar,3.7k,4.4k,"Internet - Gurgaon , Gurugram +126 other locations",15.6k,5.3k,287,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
Nagarro,4.0k,4.3k,"IT Services & Consulting - Gurgaon , Gurugram +47 other locations",28k,2.2k,279,"Work Life Balance, Company Culture, Skill Development / Learning",
OPPO,4.0k,4.2k,Consumer Electronics & Appliances - Greater Noida +387 other locations,11.9k,745,12,Skill Development / Learning,"Promotions / Appraisal, Job Security"
Amdocs,3.7k,4.3k,Software Product - Pune +21 other locations,35.7k,1.7k,54,Company Culture,"Promotions / Appraisal, Work Satisfaction, Job Security"
JBM Group,4.0k,4.2k,"Auto Components - Gurgaon , Gurugram +103 other locations",13.5k,2.4k,39,"Job Security, Skill Development / Learning",Promotions / Appraisal
State Bank of India,3.8k,4.2k,Banking - Mumbai +555 other locations,10.7k,3k,1,"Job Security, Salary & Benefits",Work Life Balance
SBI Life Insurance Company,3.8k,4.3k,Insurance - Mumbai +597 other locations,10.9k,11k,5,Job Security,"Promotions / Appraisal, Work Satisfaction"
NTT Data,3.8k,4.2k,"IT Services & Consulting - Bangalore , Bengaluru +67 other locations",30.7k,8.6k,19,"Work Life Balance, Job Security",Promotions / Appraisal
Schneider Electric,4.1k,4.2k,"Industrial Automation - Bangalore , Bengaluru +116 other locations",21.9k,6k,309,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Nagarjuna Construction Company,4.1k,4.2k,"Engineering & Construction - Hyderabad , Secunderabad +261 other locations",10.8k,5.9k,10,"Job Security, Skill Development / Learning, Salary & Benefits",
Bosch,4.2k,4.1k,"Auto Components - Bangalore , Bengaluru +115 other locations",19.6k,5k,411,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Dell,3.9k,4.1k,"Consumer Electronics & Appliances - Bangalore , Bengaluru +109 other locations",27.5k,2.4k,43,"Work Life Balance, Company Culture",Promotions / Appraisal
Hewlett Packard Enterprise,4.2k,4.1k,"IT Services & Consulting - Bangalore , Bengaluru +96 other locations",26k,7.9k,1,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Mahindra Logistics,3.9k,4.1k,Logistics - Mumbai +226 other locations,13k,2.6k,10,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
Ecom Express,3.8k,4.1k,"Logistics - Gurgaon , Gurugram +693 other locations",9.1k,4.1k,10,,"Promotions / Appraisal, Job Security"
KEC International,4.0k,4k,Engineering & Construction - Mumbai +293 other locations,12k,4.1k,--,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Piramal Capital Housing Finance,4.2k,4.1k,NBFC - Mumbai +361 other locations,9.2k,3.3k,2,"Company Culture, Work Life Balance, Skill Development / Learning",
Varun Beverages,4.0k,3.9k,Beverage - New Delhi +334 other locations,11k,1.9k,35,"Job Security, Salary & Benefits",Promotions / Appraisal
Aditya Birla Fashion and Retail,4.1k,3.9k,"Fashion & Textile - Bangalore , Bengaluru +265 other locations",12.3k,1.7k,90,"Job Security, Skill Development / Learning, Company Culture",
Randstad,3.7k,3.9k,"Recruitment - Hyderabad , Secunderabad +308 other locations",15.1k,1.6k,66,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Deutsche Bank,3.8k,3.8k,Banking - Pune +42 other locations,32.7k,5.3k,587,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning"
Hyundai Motor India Limited,4.3k,3.9k,Automobile - Chennai +272 other locations,12.8k,2.2k,--,"Job Security, Skill Development / Learning, Salary & Benefits",
CARS24,3.5k,3.9k,"Internet - Gurgaon , Gurugram +164 other locations",14.6k,745,87,,"Job Security, Promotions / Appraisal, Company Culture"
Havells,3.9k,3.8k,Electrical Equipment - Noida +227 other locations,12.8k,1.7k,38,"Work Life Balance, Salary & Benefits",Promotions / Appraisal
ITC Infotech,3.6k,3.8k,"IT Services & Consulting - Bangalore , Bengaluru +63 other locations",28.2k,2.4k,85,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
EY Global Delivery Services ( EY GDS),3.5k,3.8k,"Accounting & Auditing - Bangalore , Bengaluru +47 other locations",36.4k,3k,10,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
R1 RCM,3.8k,3.8k,BPO - New Delhi +42 other locations,19.5k,11k,416,"Company Culture, Job Security",Promotions / Appraisal
Intas Pharmaceuticals,4.1k,3.7k,Pharma - Ahmedabad +134 other locations,16.3k,8.6k,21,"Job Security, Salary & Benefits, Work Life Balance",
L&T Finance,3.9k,3.8k,NBFC - Mumbai +549 other locations,11k,6k,1,Salary & Benefits,Promotions / Appraisal
Bajaj Auto,3.8k,3.7k,Automobile - Pune +290 other locations,13.4k,5.9k,157,,Promotions / Appraisal
Team Lease,3.9k,3.7k,"Recruitment - Bangalore , Bengaluru +371 other locations",15k,5k,2,,Promotions / Appraisal
Oyo Rooms,3.2k,3.6k,"Internet - Gurgaon , Gurugram +118 other locations",17.9k,2.4k,80,,"Job Security, Work Satisfaction, Promotions / Appraisal"
Reliance Communications,4.0k,3.6k,Telecom - Mumbai +455 other locations,9.9k,7.9k,--,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Tata AIA Life Insurance,4.0k,3.6k,Insurance - Mumbai +388 other locations,12.7k,2.6k,552,"Job Security, Skill Development / Learning, Salary & Benefits",
Access Healthcare,3.9k,3.6k,Analytics & KPO - Chennai +48 other locations,22k,4.1k,228,"Job Security, Company Culture",Promotions / Appraisal
John Deere,4.1k,3.6k,Industrial Machinery - Pune +136 other locations,14.7k,4.1k,13,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Tata Communications,4.0k,3.6k,Telecom - Pune +98 other locations,22.9k,3.3k,23,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Macleods Pharmaceuticals,3.6k,3.6k,Pharma - Mumbai +115 other locations,15k,1.9k,5,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Hetero,3.8k,3.6k,"Pharma - Hyderabad , Secunderabad +59 other locations",14.4k,1.7k,38,Job Security,"Promotions / Appraisal, Salary & Benefits"
Thermax Limited,4.2k,3.6k,Industrial Machinery - Pune +222 other locations,12.1k,1.6k,48,"Job Security, Company Culture, Skill Development / Learning",
LG Electronics,3.9k,3.6k,Consumer Electronics & Appliances - Pune +278 other locations,10.2k,5.3k,--,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Royal Enfield,4.2k,3.6k,Automobile - Chennai +346 other locations,13.6k,2.2k,--,"Company Culture, Work Life Balance, Work Satisfaction",
HDFC Ergo General Insurance,3.9k,3.5k,Insurance - Mumbai +296 other locations,11.5k,745,--,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Aakash Educational Services,3.4k,3.5k,Education & Training - New Delhi +230 other locations,12k,1.7k,73,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
VE Commercial Vehicles,4.0k,3.5k,Automobile - Indore +144 other locations,12.8k,2.4k,17,"Job Security, Skill Development / Learning",Promotions / Appraisal
Utkarsh Small Finance Bank,3.8k,3.5k,Banking - Varanasi +352 other locations,10.2k,3k,11,,Promotions / Appraisal
Carelon Global Solutions,3.9k,3.4k,"Software Product - Bangalore , Bengaluru +17 other locations",25.5k,11k,21,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Cummins,4.3k,3.4k,Industrial Machinery - Pune +106 other locations,14.8k,8.6k,92,"Company Culture, Work Life Balance, Skill Development / Learning",
