Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
Ericsson,4.1k,7.6k,Telecom - Noida +157 other locations,41.7k,5.3k,136,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
EXL Service,3.7k,7.6k,IT Services & Consulting - Noida +58 other locations,40.8k,2.2k,219,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Muthoot Fincorp,4.5k,7.5k,"NBFC - Bangalore , Bengaluru +892 other locations",8.4k,745,36,"Company Culture, Work Life Balance, Job Security",
Sutherland Global Services,3.5k,7.6k,IT Services & Consulting - Chennai +72 other locations,31k,1.7k,238,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Bajaj Finance,4.0k,7.5k,NBFC - Pune +878 other locations,21.7k,2.4k,2,"Salary & Benefits, Skill Development / Learning, Job Security",
Cipla,4.1k,7.4k,Pharma - Mumbai +268 other locations,24.5k,3k,146,"Skill Development / Learning, Salary & Benefits, Company Culture",
Dr. Reddy's,4.0k,7.2k,"Pharma - Hyderabad , Secunderabad +199 other locations",24.5k,11k,38,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
HGS,3.8k,7.1k,"BPO - Bangalore , Bengaluru +117 other locations",22k,8.6k,25,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Wells Fargo,3.8k,7.1k,"Financial Services - Bangalore , Bengaluru +26 other locations",51.1k,6k,247,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
Amazon Development Centre India,4.0k,6.8k,"Internet - Hyderabad , Secunderabad +135 other locations",34k,5.9k,14,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
ICICI Prudential Life Insurance,4.0k,6.8k,Insurance - Mumbai +484 other locations,22.1k,5k,279,"Job Security, Skill Development / Learning, Salary & Benefits",
JPMorgan Chase & Co.,3.9k,6.7k,"Financial Services - Bangalore , Bengaluru +51 other locations",75.4k,2.4k,763,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Jana Small Finance Bank,3.8k,6.6k,"Banking - Bangalore , Bengaluru +390 other locations",13.9k,7.9k,35,,Promotions / Appraisal
Optum Global Solutions,4.0k,6.7k,"IT Services & Consulting - Hyderabad , Secunderabad +50 other locations",42.1k,2.6k,333,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Delhivery,3.8k,6.6k,"Logistics - Gurgaon , Gurugram +698 other locations",19.4k,4.1k,104,,Promotions / Appraisal
Hexaware Technologies,3.5k,6.5k,IT Services & Consulting - Chennai +65 other locations,49.1k,4.1k,213,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Lupin,4.1k,6.5k,Pharma - Pune +188 other locations,21.9k,3.3k,147,"Company Culture, Skill Development / Learning, Work Life Balance",
L&T Construction,4.0k,6.5k,Engineering & Construction - Chennai +401 other locations,18.3k,1.9k,--,"Job Security, Skill Development / Learning, Salary & Benefits","Work Life Balance, Promotions / Appraisal"
JSW Steel,3.9k,6.4k,Iron & Steel - Ballari +168 other locations,27.8k,1.7k,91,"Job Security, Skill Development / Learning",Promotions / Appraisal
Zydus Lifesciences,4.1k,6.4k,Pharma - Ahmedabad +168 other locations,18.8k,1.6k,33,"Salary & Benefits, Skill Development / Learning, Company Culture",
Hindustan Unilever,4.2k,6.4k,FMCG - Mumbai +497 other locations,19.2k,5.3k,57,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Equitas Small Finance Bank,4.4k,6.3k,Banking - Chennai +430 other locations,12.1k,2.2k,1.9k,"Company Culture, Work Life Balance, Job Security",
Sun Pharmaceutical Industries,4.0k,6.2k,Pharma - Vadodara +234 other locations,22k,745,303,"Salary & Benefits, Job Security, Skill Development / Learning",
ITC,3.9k,6.1k,"FMCG - Bangalore , Bengaluru +352 other locations",22.4k,1.7k,85,"Job Security, Skill Development / Learning",Promotions / Appraisal
KPMG India,3.5k,6.1k,"Management Consulting - Bangalore , Bengaluru +103 other locations",56.3k,2.4k,1.4k,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Ujjivan Small Finance Bank,4.1k,5.9k,"Banking - Bangalore , Bengaluru +500 other locations",12.5k,3k,51,"Company Culture, Work Life Balance, Job Security",
Ekart Logistics,3.9k,6k,"Bangalore , Bengaluru +693 other locations",14.1k,11k,--,Skill Development / Learning,Promotions / Appraisal
Axis Max Life Insurance,4.1k,5.9k,Insurance - New Delhi +455 other locations,18.3k,8.6k,347,"Company Culture, Skill Development / Learning, Work Life Balance",
FIS,3.9k,5.8k,FinTech - Pune +57 other locations,37.8k,6k,65,"Work Life Balance, Company Culture",Promotions / Appraisal
HCL Group,3.6k,5.8k,IT Services & Consulting - Chennai +92 other locations,45.1k,5.9k,1,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tata Projects,4.2k,5.7k,Engineering & Construction - Mumbai +262 other locations,20.5k,5k,28,"Job Security, Salary & Benefits, Company Culture",
Megha Engineering & Infrastructures,3.9k,5.7k,"Engineering & Construction - Hyderabad , Secunderabad +363 other locations",16.7k,2.4k,22,Job Security,Promotions / Appraisal
IIFL Finance,4.0k,5.6k,NBFC - Mumbai +750 other locations,14.1k,7.9k,8,"Work Life Balance, Company Culture, Job Security",
Indian Army,4.7k,5.6k,Defence & Aerospace - New Delhi +345 other locations,9.4k,2.6k,--,"Job Security, Company Culture, Work Satisfaction",
Oracle,3.7k,5.5k,"Software Product - Bangalore , Bengaluru +53 other locations",57.5k,4.1k,970,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
L&T Technology Services,3.3k,5.5k,"IT Services & Consulting - Bangalore , Bengaluru +87 other locations",39.3k,4.1k,602,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Coforge,3.3k,5.4k,IT Services & Consulting - Noida +100 other locations,42.7k,3.3k,352,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Muthoot Finance,3.6k,5.4k,"NBFC - Bangalore , Bengaluru +721 other locations",12.5k,1.9k,117,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
eClerx,3.3k,5.4k,IT Services & Consulting - Pune +28 other locations,29.3k,1.7k,139,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
JLL,4.1k,5.3k,"Real Estate - Gurgaon , Gurugram +73 other locations",21.8k,1.6k,952,"Job Security, Company Culture, Work Life Balance",
